Mes, Cuartos Promedio , Cuartos , Cuartos Disponibles , Cuartos Ocupados,por Nacionales,por Extranjeros, Porcentaje de Ocupacion,por Nacionales,por Extranjeros, Llegada de Turistas,Nacionales,Extranjeros, Turistas Noche, Nacionales,Extranjeros,Estadia, de Nacionales,de Extranjeros,Densidad, de Nacionales, de Extranjeros
Jan,18607.79169,20712,576841.5425,351218.3667,64765.35982,286453.0068,60.88645508,11.22758246,49.65887263,170039.2686,45381.52923,124657.7394,758330.0135,120985.0415,637344.972,4.459734622,2.665953385,5.112758943,2.159141108,1.868051715,2.224954728
Feb,18448.84741,20712,535016.5747,370848.6665,77147.05888,293701.6076,69.31536031,14.41956428,54.89579604,170044.8992,50573.47075,119471.4285,801514.097,146417.5099,655096.5871,4.713543897,2.895144584,5.48329082,2.161296964,1.897901385,2.230483491
Mar,18478.40025,20712,572830.4079,414278.7193,99032.67273,315246.0465,72.32135612,17.28830582,55.03305031,208128.1145,68259.71494,139868.3996,982999.1345,202501.6805,780497.454,4.723048285,2.966635309,5.580227244,2.372796595,2.044796681,2.47583582
Apr,18481.3584,20712,554440.752,359749.4907,78068.58417,281680.9066,64.88510981,14.08059994,50.80450987,177863.4992,58821.34213,119042.1571,788304.8756,148460.0196,639844.856,4.432077852,2.523914182,5.374943394,2.191260574,1.901661484,2.271523703
May,18469.45839,20712,572553.2102,332720.3759,89435.84279,243284.5331,58.11169511,15.62052944,42.49116567,178569.423,68594.70765,109974.7153,721697.5757,177355.2923,544342.2834,4.041551816,2.585553586,4.949703955,2.169081391,1.983044904,2.237471805
Jun,18522.45398,20712,555673.6193,352549.4317,92180.71059,260368.7211,63.44541462,16.5890025,46.85641212,186833.5776,67934.8648,118898.7128,826158.4403,185334.7667,640823.6737,4.421894881,2.728124465,5.389660314,2.343383271,2.010559101,2.461216044
Jul,18534.73222,20712,574576.6987,393640.9856,123187.5593,270453.4263,68.50973708,21.43970675,47.07003033,221385.5266,91388.96827,129996.5583,990180.3803,271933.3618,718247.0185,4.472651829,2.975560037,5.525123341,2.515440253,2.207474225,2.655714251
Aug,18509.91815,20712,573807.4627,325000.1627,90594.14225,234406.0205,56.63923595,15.78824748,40.85098848,174640.5028,69787.65084,104852.852,806779.3816,193446.8869,613332.4948,4.619657918,2.771935787,5.849459344,2.482396854,2.13531341,2.616539001
Sep,18448.94557,20712,553468.3672,247014.627,69874.47385,177140.1532,44.6303062,12.62483603,32.00547017,130160.4908,50673.16985,79487.32094,529132.3456,132884.07,396248.2756,4.065230104,2.62237532,4.985050079,2.142109364,1.901754141,2.236919571
Oct,18453.69361,20712,572064.502,327076.7325,68684.36621,258392.3663,57.17479958,12.00640242,45.16839716,162185.6043,48784.05768,113401.5466,708292.2244,127951.6053,580340.619,4.367170733,2.622815965,5.117572347,2.165523114,1.862892713,2.24596658
Nov,18503.06896,20712,555092.0689,357262.7623,73852.24631,283410.516,64.36099204,13.30450396,51.05648808,182375.5408,54384.55206,127990.9888,793576.8563,137945.288,655631.5682,4.351333806,2.536479254,5.12248225,2.221269441,1.867855006,2.313363588
Dec,18542.83045,20712,574827.7439,364273.8337,76112.21305,288161.6207,63.37095549,13.24087326,50.13008222,189909.6162,55117.36902,134792.2472,848799.0625,152220.9415,696578.121,4.469489642,2.761759936,5.167790697,2.330112635,1.999954218,2.417317474
