Mes,Ocupante,Cuartos Ocupados
Jan,Nacional,64765.35982
Feb,Nacional,77147.05888
Mar,Nacional,99032.67273
Apr,Nacional,78068.58417
May,Nacional,89435.84279
Jun,Nacional,92180.71059
Jul,Nacional,123187.5593
Aug,Nacional,90594.14225
Sep,Nacional,69874.47385
Oct,Nacional,68684.36621
Nov,Nacional,73852.24631
Dec,Nacional,76112.21305
Jan,Extranjero,286453.0068
Feb,Extranjero,293701.6076
Mar,Extranjero,315246.0465
Apr,Extranjero,281680.9066
May,Extranjero,243284.5331
Jun,Extranjero,260368.7211
Jul,Extranjero,270453.4263
Aug,Extranjero,234406.0205
Sep,Extranjero,177140.1532
Oct,Extranjero,258392.3663
Nov,Extranjero,283410.516
Dec,Extranjero,288161.6207
