Mes,Ocupante,Llegadas
Jan,Nacional,45381.52923
Feb,Nacional,50573.47075
Mar,Nacional,68259.71494
Apr,Nacional,58821.34213
May,Nacional,68594.70765
Jun,Nacional,67934.8648
Jul,Nacional,91388.96827
Aug,Nacional,69787.65084
Sep,Nacional,50673.16985
Oct,Nacional,48784.05768
Nov,Nacional,54384.55206
Dec,Nacional,55117.36902
Jan,Extranjero,124657.7394
Feb,Extranjero,119471.4285
Mar,Extranjero,139868.3996
Apr,Extranjero,119042.1571
May,Extranjero,109974.7153
Jun,Extranjero,118898.7128
Jul,Extranjero,129996.5583
Aug,Extranjero,104852.852
Sep,Extranjero,79487.32094
Oct,Extranjero,113401.5466
Nov,Extranjero,127990.9888
Dec,Extranjero,134792.2472
