Mes,Ocupante,Promedio
Jan,Nacional,2.665953385
Feb,Nacional,2.895144584
Mar,Nacional,2.966635309
Apr,Nacional,2.523914182
May,Nacional,2.585553586
Jun,Nacional,2.728124465
Jul,Nacional,2.975560037
Aug,Nacional,2.771935787
Sep,Nacional,2.62237532
Oct,Nacional,2.622815965
Nov,Nacional,2.536479254
Dec,Nacional,2.761759936
Jan,Extranjero,5.112758943
Feb,Extranjero,5.48329082
Mar,Extranjero,5.580227244
Apr,Extranjero,5.374943394
May,Extranjero,4.949703955
Jun,Extranjero,5.389660314
Jul,Extranjero,5.525123341
Aug,Extranjero,5.849459344
Sep,Extranjero,4.985050079
Oct,Extranjero,5.117572347
Nov,Extranjero,5.12248225
Dec,Extranjero,5.167790697
