periodo,cip,millonesdedolares
2018-06,Cancun  ,427.3
2018-06,Los Cabos  ,106.5
2018-06,Nayarit,34.8
2018-06,Ixtapa  ,1.8
2018-06,Huatulco  ,4.8
2018-06,Loreto  ,2.7
2018-05,Cancun  ,413.8
2018-05,Los Cabos  ,96.6
2018-05,Nayarit,29.3
2018-05,Ixtapa  ,2.4
2018-05,Huatulco  ,4.7
2018-05,Loreto  ,3
2018-04,Cancun  ,460.8
2018-04,Los Cabos  ,119.5
2018-04,Nayarit,44.3
2018-04,Ixtapa  ,4.4
2018-04,Huatulco  ,5.9
2018-04,Loreto  ,4.1
2018-03,Cancun  ,526.9
2018-03,Los Cabos  ,140
2018-03,Nayarit,62.1
2018-03,Ixtapa  ,17.9
2018-03,Huatulco  ,7.3
2018-03,Loreto  ,7.7
2018-02,Cancun  ,459.9
2018-02,Los Cabos  ,118.8
2018-02,Nayarit,55.1
2018-02,Ixtapa  ,17.3
2018-02,Huatulco  ,8.8
2018-02,Loreto  ,5.9
2018-01,Cancun  ,478.5
2018-01,Los Cabos  ,115.3
2018-01,Nayarit,59
2018-01,Ixtapa  ,17.7
2018-01,Huatulco  ,8.8
2018-01,Loreto  ,3.2
2017-12,Cancun  ,379.2
2017-12,Los Cabos  ,100.9
2017-12,Nayarit,48.8
2017-12,Ixtapa  ,12.6
2017-12,Huatulco  ,3.5
2017-12,Loreto  ,4.3
2017-11,Cancun  ,349.4
2017-11,Los Cabos  ,93.8
2017-11,Nayarit,39.6
2017-11,Ixtapa  ,9.3
2017-11,Huatulco  ,6
2017-11,Loreto  ,4.3
2017-10,Cancun  ,288.8
2017-10,Los Cabos  ,84.6
2017-10,Nayarit,25.8
2017-10,Ixtapa  ,3.3
2017-10,Huatulco  ,2.1
2017-10,Loreto  ,2.5
2017-9,Cancun  ,274.8
2017-9,Los Cabos  ,56.7
2017-9,Nayarit,17
2017-9,Ixtapa  ,1.7
2017-9,Huatulco  ,0.7
2017-9,Loreto  ,1.2
2017-8,Cancun  ,396.9
2017-8,Los Cabos  ,98.4
2017-8,Nayarit,33.8
2017-8,Ixtapa  ,3.3
2017-8,Huatulco  ,1.3
2017-8,Loreto  ,2.4
2017-7,Cancun  ,420.1
2017-7,Los Cabos  ,139.7
2017-7,Nayarit,34.4
2017-7,Ixtapa  ,3.6
2017-7,Huatulco  ,1.4
