Ano,Aeropuerto,pasajeros
2006,CDMX,24573123
2007,CDMX,25765421
2008,CDMX,26152621
2009,CDMX,24220237
2010,CDMX,24119264
2011,CDMX,26365310
2012,CDMX,29481343
2013,CDMX,31532331
2014,CDMX,34252381
2015,CDMX,38430494
2016,CDMX,41407523
2017,CDMX,44519976
2006,Cancun,9728149
2007,Cancun,11340027
2008,Cancun,12646451
2009,Cancun,11174908
2010,Cancun,12439265
2011,Cancun,13022481
2012,Cancun,14463435
2013,Cancun,15962162
2014,Cancun,17455353
2015,Cancun,19596485
2016,Cancun,21415795
2017,Cancun,23601509
2006,Huatulco,375276
2007,Huatulco,375930
2008,Huatulco,365952
2009,Huatulco,388068
2010,Huatulco,385593
2011,Huatulco,459640
2012,Huatulco,485965
2013,Huatulco,484604
2014,Huatulco,519619
2015,Huatulco,618767
2016,Huatulco,662780
2017,Huatulco,776632
2006,Puerto Vallarta,2939644
2007,Puerto Vallarta,3094490
2008,Puerto Vallarta,3241566
2009,Puerto Vallarta,2611327
2010,Puerto Vallarta,2696822
2011,Puerto Vallarta,2482454
2012,Puerto Vallarta,2479995
2013,Puerto Vallarta,2591035
2014,Puerto Vallarta,3039126
2015,Puerto Vallarta,3517801
2016,Puerto Vallarta,3990483
2017,Puerto Vallarta,4433173
2006,Cabos,2679547
2007,Cabos,2858908
2008,Cabos,2949627
2009,Cabos,2591783
2010,Cabos,2713336
2011,Cabos,2754168
2012,Cabos,2841302
2013,Cabos,3234287
2014,Cabos,3130986
2015,Cabos,3523010
2016,Cabos,4089000
2017,Cabos,4701580
2006,Mazatlan,819214
2007,Mazatlan,905010
2008,Mazatlan,833714
2009,Mazatlan,743556
2010,Mazatlan,756122
2011,Mazatlan,722492
2012,Mazatlan,669407
2013,Mazatlan,731297
2014,Mazatlan,789234
2015,Mazatlan,853409
2016,Mazatlan,973440
2017,Mazatlan,983327
