Ano,posicion,destino,turistas
2018,1,Cancun,4290444
2018,2,Acapulco,3437861
2018,3,Riviera Maya,2409990
2018,4,Veracruz,1379792
2018,5,Mazatlan,1175092
2018,6,Los Cabos,1035648
2018,7,Puerto Vallarta,1018168
2018,8,Riviera Nayarit,933103
2018,9,Ixtapa-Zihuatanejo,534729
2018,10,Manzanillo,409762
2018,11,Cozumel,395553
2018,12,Playas de Rosarito,285582
2018,13,Isla Mujeres,259530
2018,14,Bahias de Huatulco,255139
2018,15,La Paz,215765
2018,16,Puerto Escondido,170932
2018,17,Tonala-Puerto Arista,79215
2018,18,Loreto,66714
2018,19,San Felipe,54878
2017,1,Cancun,8315004
2017,2,Acapulco,6464472
2017,3,Riviera Maya,4578911
2017,4,Mazatlan,2462870
2017,5,Veracruz,2444069
2017,6,Puerto Vallarta,2143946
2017,7,Riviera Nayarit,2003417
2017,8,Los Cabos,1913254
2017,9,Ixtapa-Zihuatanejo,1060849
2017,10,Manzanillo,746008
2017,11,Cozumel,743057
2017,12,Playas de Rosarito,676546
2017,13,Isla Mujeres,527333
2017,14,Bahias de Huatulco,473181
2017,15,La Paz,362719
2017,16,Puerto Escondido,354108
2017,17,Tonala-Puerto Arista,162827
2017,18,Loreto,134618
2017,19,San Felipe,105784
2016,1,Cancun,8185426
2016,2,Acapulco,5634530
2016,3,Riviera Maya,4032171
2016,4,Veracruz,2475694
2016,5,Mazatlan,2154570
2016,6,Puerto Vallarta,2016028
2016,7,Riviera Nayarit,1813371
2016,8,Los Cabos,1449258
2016,9,Ixtapa-Zihuatanejo,1009416
2016,10,Cozumel,707293
2016,11,Playas de Rosarito,679863
2016,12,Manzanillo,610264
2016,13,Isla Mujeres,435677
2016,14,Bahias de Huatulco,423125
2016,15,Puerto Escondido,367301
2016,16,La Paz,323757
2016,17,Tonala-Puerto Arista,148603
2016,18,San Felipe,123992
2016,19,Loreto,107218
2015,1,Cancun,7253520
2015,2,Acapulco,5120439
2015,3,Riviera Maya,3904263
2015,4,Veracruz,2589105
2015,5,Mazatlan,1981883
2015,6,Puerto Vallarta,1960633
2015,7,Riviera Nayarit,1677551
2015,8,Los Cabos,1275557
2015,9,Ixtapa-Zihuatanejo,885550
2015,10,Cozumel,575055
2015,11,Playas de Rosarito,553497
2015,12,Manzanillo,522779
2015,13,Bahias de Huatulco,457814
2015,14,Puerto Escondido,348063
2015,15,La Paz,330180
2015,16,Isla Mujeres,317199
2015,17,Tonala-Puerto Arista,161539
2015,18,San Felipe,122393
2015,19,Loreto,84226
2014,1,Cancun,6020823
2014,2,Acapulco,4590910
2014,3,Riviera Maya,3712818
2014,4,Veracruz,2665880
2014,5,Mazatlan,1921951
2014,6,Puerto Vallarta,1675516
2014,7,Riviera Nayarit,1606323
2014,8,Los Cabos,1331223
2014,9,Ixtapa Zihuatanejo,599057
2014,10,Cozumel,585086
2014,11,Manzanillo,506012
2014,12,Playas de Rosarito,445802
2014,13,Bahias de Huatulco,402733
2014,14,Puerto Escondido,332061
2014,15,Isla Mujeres,300362
2014,16,La Paz,289487
2014,17,Tonala,134028
2014,18,San Felipe,108092
2014,19,Loreto,87181
2013,1,Acapulco,4634287
2013,2,Cancun,4416910
2013,3,Riviera Maya,3589144
2013,4,Veracruz,2458392
2013,5,Mazatlan,1743575
2013,6,Puerto Vallarta,1620552
2013,7,Los Cabos,1421498
2013,8,Riviera Nayarit,1363182
2013,9,Ixtapa Zihuatanejo,538471
2013,10,Manzanillo,506283
2013,11,Cozumel,447747
2013,12,Playas de Rosarito,434229
2013,13,Bahias de Huatulco,389364
2013,14,La Paz,299354
2013,15,Puerto Escondido,270730
2013,16,Isla Mujeres,268360
2013,17,Tonala-Puerto Arista,113480
2013,18,San Felipe,102391
2013,19,Loreto,90190
2012,1,Acapulco,4782223
2012,2,Cancun,4411090
2012,3,Riviera Maya,3445655
2012,4,Veracruz,2306063
2012,5,Mazatlan,1591233
2012,6,Puerto Vallarta,1520741
2012,7,Los Cabos,1268025
2012,8,Ixtapa-Zihuatanejo,573416
2012,9,Manzanillo,566221
2012,10,Cozumel,445974
2012,11,Bahias de Huatulco,432630
2012,12,Playas de Rosarito,347347
2012,13,Puerto Escondido,248079
2012,14,La Paz,241717
2012,15,Isla Mujeres,180522
2012,16,Tonala-Puerto Arista,144189
2012,17,San Felipe,91693
2012,18,Loreto,89863
2011,1,Acapulco,3903849
2011,2,Cancun,3892029
2011,3,Riviera Maya,3078405
2011,4,Veracruz,1925816
2011,5,Mazatlan,1548300
2011,6,Puerto Vallarta,1276306
2011,7,Los Cabos,1237283
2011,8,Ixtapa-Zihuatanejo,546258
2011,9,Manzanillo,509594
2011,10,Cozumel,475837
2011,11,Bahias de Huatulco,376701
2011,12,Playas de Rosarito,254797
2011,13,La Paz,234312
2011,14,Puerto Escondido,198728
2011,15,Isla Mujeres,179629
2011,16,Tonala-Puerto Arista,133162
2011,17,San Felipe,87833
2011,18,Loreto,84139
2010,1,Acapulco,4890456
2010,2,Cancun,4041429
2010,3,Riviera Maya,2880499
2010,4,Veracruz,1949313
2010,5,Mazatlan,1603808
2010,6,Puerto Vallarta,1201078
2010,7,Los Cabos,1120983
2010,8,Ixtapa-Zihuatanejo,640441
2010,9,Manzanillo,553080
2010,10,Cozumel,526151
2010,11,Bahias de Huatulco,352834
2010,12,La Paz,226462
2010,13,Puerto Escondido,218169
2010,14,Playas de Rosarito,208814
2010,15,Isla Mujeres,158700
2010,16,Tonala-Puerto Arista,130156
2010,17,San Felipe,84758
2010,18,Loreto,75759
