Mes, Cuartos Promedio , Cuartos , Cuartos Disponibles , Cuartos Ocupados,por Nacionales,por Extranjeros, Porcentaje de Ocupacion,por Nacionales,por Extranjeros, Llegada de Turistas,Nacionales,Extranjeros, Turistas Noche, Nacionales,Extranjeros,Estadia, de Nacionales,de Extranjeros,Densidad, de Nacionales, de Extranjeros
Jan,27148.00242,29046,841588.0751,467982.9516,407228.8146,60754.137,55.60712723,48.38813984,7.218987388,738117.7871,706298.8907,31818.89639,1153956.478,1031562.171,122394.3064,1.563377144,1.460517898,3.846591813,2.465808795,2.533126671,2.014583902
Feb,27160.02822,29046,787640.8184,389412.8667,310124.0986,79288.7681,49.44041213,39.37379722,10.06661491,534311.7774,496109.4307,38202.34663,873211.1153,713557.5448,159653.5705,1.634272633,1.438306754,4.179156113,2.242378693,2.300877449,2.013571081
Mar,27329.44806,29046,847212.8898,447150.9274,390396.9917,56753.93579,52.7790515,46.0801525,6.698898998,768982.759,738913.2916,30069.4674,1136650.195,1016054.964,120595.2314,1.47812182,1.375066568,4.010554286,2.541983311,2.60261986,2.124878736
Apr,27282.50025,29046,818475.0075,326061.665,305187.907,20873.75801,39.83770574,37.28738254,2.550323201,626052.0155,612398.5512,13653.46426,826506.8111,783465.544,43041.26713,1.320188723,1.279339317,3.152406328,2.534817489,2.567157892,2.061979789
May,27267.39827,29046,845289.3464,316676.7136,307271.6917,9405.021934,37.46370577,36.35106641,1.112639355,570131.6144,560345.0472,9786.567199,812760.0073,792390.3771,20369.63017,1.425565583,1.414111503,2.081386635,2.566529121,2.578793942,2.165824844
Jun,27209.08798,29046,816272.6394,292553.0194,283460.0691,9092.950261,35.84011092,34.72615097,1.113959947,514461.983,504883.7536,9578.229443,725496.5846,704149.3278,21347.25677,1.410204463,1.394676146,2.228726811,2.479880694,2.484121767,2.347671125
Jul,27302.43389,29046,846375.4507,437049.302,422222.5973,14826.7047,51.63775741,49.88596928,1.751788132,806418.9777,792599.9591,13819.01863,1197613.265,1161767.366,35845.89938,1.485100548,1.465767633,2.593954054,2.740224638,2.751551843,2.417657876
Aug,27133.84868,29046,841149.3092,343433.3413,327858.9282,15574.41315,40.82905824,38.97749479,1.851563448,616800.064,601188.9716,15611.09234,911381.6579,873120.9872,38260.67069,1.477596568,1.452323693,2.450864414,2.653736688,2.66309962,2.456636428
Sep,26827.6158,29046,804828.4741,239863.967,230288.9065,9575.06048,29.80311641,28.61341441,1.189702003,411247.4744,400735.4261,10512.04827,585670.0224,563056.8642,22613.15823,1.424130381,1.405058868,2.151165753,2.441675712,2.445002118,2.361672626
Oct,26705.24697,29046,827862.6561,267699.5568,255745.1677,11954.38918,32.3362281,30.89222177,1.444006332,468806.4878,456831.117,11975.3708,654164.5102,627628.4262,26536.08392,1.395382801,1.37387407,2.215888291,2.443651823,2.454116463,2.219777484
Nov,27023.37043,29046,810701.113,306141.1082,282567.6149,23573.49331,37.76251239,34.85472147,2.907790915,510525.0432,488146.2365,22378.80675,745863.4759,693560.3065,52303.16946,1.460973337,1.420804371,2.337174187,2.436338851,2.454493261,2.218727991
Dec,27138.29795,29046,841287.2364,446867.1743,410588.4208,36278.75353,53.11707524,48.80478427,4.31229097,804293.8849,777154.0014,27139.88357,1185127.543,1107101.107,78026.43562,1.473500626,1.424558202,2.874973115,2.652080105,2.696376836,2.150747422
