Mes,Ocupante,Cuartos Ocupados
Jan,Nacional,407228.8146
Feb,Nacional,310124.0986
Mar,Nacional,390396.9917
Apr,Nacional,305187.907
May,Nacional,307271.6917
Jun,Nacional,283460.0691
Jul,Nacional,422222.5973
Aug,Nacional,327858.9282
Sep,Nacional,230288.9065
Oct,Nacional,255745.1677
Nov,Nacional,282567.6149
Dec,Nacional,410588.4208
Jan,Extranjero,60754.137
Feb,Extranjero,79288.7681
Mar,Extranjero,56753.93579
Apr,Extranjero,20873.75801
May,Extranjero,9405.021934
Jun,Extranjero,9092.950261
Jul,Extranjero,14826.7047
Aug,Extranjero,15574.41315
Sep,Extranjero,9575.06048
Oct,Extranjero,11954.38918
Nov,Extranjero,23573.49331
Dec,Extranjero,36278.75353
