Mes,Ocupante,Llegadas
Jan,Nacional,706298.8907
Feb,Nacional,496109.4307
Mar,Nacional,738913.2916
Apr,Nacional,612398.5512
May,Nacional,560345.0472
Jun,Nacional,504883.7536
Jul,Nacional,792599.9591
Aug,Nacional,601188.9716
Sep,Nacional,400735.4261
Oct,Nacional,456831.117
Nov,Nacional,488146.2365
Dec,Nacional,777154.0014
Jan,Extranjero,31818.89639
Feb,Extranjero,38202.34663
Mar,Extranjero,30069.4674
Apr,Extranjero,13653.46426
May,Extranjero,9786.567199
Jun,Extranjero,9578.229443
Jul,Extranjero,13819.01863
Aug,Extranjero,15611.09234
Sep,Extranjero,10512.04827
Oct,Extranjero,11975.3708
Nov,Extranjero,22378.80675
Dec,Extranjero,27139.88357
