Mes,Ocupante,Promedio
Jan,Nacional,1.460517898
Feb,Nacional,1.438306754
Mar,Nacional,1.375066568
Apr,Nacional,1.279339317
May,Nacional,1.414111503
Jun,Nacional,1.394676146
Jul,Nacional,1.465767633
Aug,Nacional,1.452323693
Sep,Nacional,1.405058868
Oct,Nacional,1.37387407
Nov,Nacional,1.420804371
Dec,Nacional,1.424558202
Jan,Extranjero,3.846591813
Feb,Extranjero,4.179156113
Mar,Extranjero,4.010554286
Apr,Extranjero,3.152406328
May,Extranjero,2.081386635
Jun,Extranjero,2.228726811
Jul,Extranjero,2.593954054
Aug,Extranjero,2.450864414
Sep,Extranjero,2.151165753
Oct,Extranjero,2.215888291
Nov,Extranjero,2.337174187
Dec,Extranjero,2.874973115
