Mes, Cuartos Promedio , Cuartos , Cuartos Disponibles , Cuartos Ocupados,por Nacionales,por Extranjeros, Porcentaje de Ocupacion,por Nacionales,por Extranjeros, Llegada de Turistas,Nacionales,Extranjeros, Turistas Noche, Nacionales,Extranjeros,Estadia, de Nacionales,de Extranjeros,Densidad, de Nacionales, de Extranjeros
Jan,52002.6696,61443,1612082.758,862553.2301,549041.4967,313511.7335,53.50551801,34.05789771,19.44762029,599315.5848,483702.6844,115612.9004,1504608.7,994114.4077,510494.2927,2.510544926,2.055217884,4.415547839,1.7443662,1.810636197,1.628310006
Feb,52298.96658,61443,1516670.031,861833.2739,508659.0387,353174.2352,56.82404586,33.53788421,23.28616166,575971.2087,445766.9243,130204.2844,1426087.952,851056.0753,575031.8768,2.4759709,1.909195207,4.416382145,1.654714427,1.673136641,1.628181842
Mar,52192.41324,61443,1617964.81,991972.013,680301.9837,311670.0293,61.30986327,42.04677255,19.26309072,772578.6064,635247.038,137331.5684,1818215.171,1287152.672,531062.4987,2.353437121,2.026223808,3.867009639,1.832929908,1.892031338,1.703925462
Apr,52172.7803,61443,1565183.409,830739.9546,592470.4876,238269.467,53.07620499,37.85310298,15.22310201,610575.9536,499946.5638,110629.3898,1413008.281,1028148.393,384859.8877,2.314221961,2.056516571,3.478821392,1.700903241,1.735357988,1.615229566
May,52247.19086,61443,1619662.917,787945.1743,607010.296,180934.8783,48.64871364,37.47756955,11.1711441,618532.8389,522704.9518,95827.88705,1364034.573,1080152.998,283881.5742,2.205274299,2.066467889,2.96241087,1.731128786,1.779464048,1.568970985
Jun,52247.28936,61443,1567418.681,743148.2406,580768.0322,162380.2083,47.41223577,37.05251439,10.35972139,579923.0404,492727.7143,87195.32615,1303170.768,1034523.982,268646.7852,2.247144322,2.099585536,3.080976895,1.753581179,1.781303248,1.654430598
Jul,52281.56268,61443,1620728.443,1027946.931,849495.6692,178451.2613,63.42499479,52.4144358,11.01055899,880831.7675,776006.5488,104825.2187,1996845.141,1682918.972,313926.1696,2.26699946,2.168691713,2.99475807,1.942556646,1.981080107,1.75917036
Aug,52277.28924,61443,1620595.966,923692.2559,759446.1579,164246.0981,56.99707238,46.86215279,10.13491959,807188.8403,710543.7089,96645.13147,1732950.142,1451147.686,281802.4561,2.146895566,2.042306009,2.915847408,1.876112018,1.910797324,1.715733034
Sep,52213.65102,61443,1566409.531,777345.4373,637070.2091,140275.2282,49.62593895,40.67073116,8.955207787,625106.5126,551283.9197,73822.59291,1308393.55,1101108.128,207285.422,2.093072979,1.997352161,2.807885958,1.683155889,1.728393688,1.477705113
Oct,52214.43526,61443,1618647.493,837155.4581,660246.8973,176908.5608,51.71944242,40.79003613,10.92940628,672783.7336,587636.7861,85146.94747,1424784.132,1156272.488,268511.6441,2.117744619,1.967665257,3.153508753,1.701934949,1.751272883,1.517799042
Nov,52234.71128,61443,1567041.338,911967.4913,666234.8287,245732.6626,58.19677305,42.5154597,15.68131335,718928.162,609204.158,109724.004,1582092.091,1201681.99,380410.1013,2.200626119,1.972543972,3.466972471,1.734811938,1.803691338,1.548064865
Dec,52335.64059,61443,1622404.858,940568.669,668592.902,271975.767,57.97373351,41.20999136,16.76374214,817379.2009,692266.7776,125112.4233,1739747.804,1289704.534,450043.2699,2.128446383,1.863016651,3.597110966,1.849676543,1.928983287,1.654718267
