Mes,Ocupante,Cuartos Ocupados
Jan,Nacional,549041.4967
Feb,Nacional,508659.0387
Mar,Nacional,680301.9837
Apr,Nacional,592470.4876
May,Nacional,607010.296
Jun,Nacional,580768.0322
Jul,Nacional,849495.6692
Aug,Nacional,759446.1579
Sep,Nacional,637070.2091
Oct,Nacional,660246.8973
Nov,Nacional,666234.8287
Dec,Nacional,668592.902
Jan,Extranjero,313511.7335
Feb,Extranjero,353174.2352
Mar,Extranjero,311670.0293
Apr,Extranjero,238269.467
May,Extranjero,180934.8783
Jun,Extranjero,162380.2083
Jul,Extranjero,178451.2613
Aug,Extranjero,164246.0981
Sep,Extranjero,140275.2282
Oct,Extranjero,176908.5608
Nov,Extranjero,245732.6626
Dec,Extranjero,271975.767
