Mes,Ocupante,Llegadas
Jan,Nacional,483702.6844
Feb,Nacional,445766.9243
Mar,Nacional,635247.038
Apr,Nacional,499946.5638
May,Nacional,522704.9518
Jun,Nacional,492727.7143
Jul,Nacional,776006.5488
Aug,Nacional,710543.7089
Sep,Nacional,551283.9197
Oct,Nacional,587636.7861
Nov,Nacional,609204.158
Dec,Nacional,692266.7776
Jan,Extranjero,115612.9004
Feb,Extranjero,130204.2844
Mar,Extranjero,137331.5684
Apr,Extranjero,110629.3898
May,Extranjero,95827.88705
Jun,Extranjero,87195.32615
Jul,Extranjero,104825.2187
Aug,Extranjero,96645.13147
Sep,Extranjero,73822.59291
Oct,Extranjero,85146.94747
Nov,Extranjero,109724.004
Dec,Extranjero,125112.4233
