Mes,Ocupante,Promedio
Jan,Nacional,2.055217884
Feb,Nacional,1.909195207
Mar,Nacional,2.026223808
Apr,Nacional,2.056516571
May,Nacional,2.066467889
Jun,Nacional,2.099585536
Jul,Nacional,2.168691713
Aug,Nacional,2.042306009
Sep,Nacional,1.997352161
Oct,Nacional,1.967665257
Nov,Nacional,1.972543972
Dec,Nacional,1.863016651
Jan,Extranjero,4.415547839
Feb,Extranjero,4.416382145
Mar,Extranjero,3.867009639
Apr,Extranjero,3.478821392
May,Extranjero,2.96241087
Jun,Extranjero,3.080976895
Jul,Extranjero,2.99475807
Aug,Extranjero,2.915847408
Sep,Extranjero,2.807885958
Oct,Extranjero,3.153508753
Nov,Extranjero,3.466972471
Dec,Extranjero,3.597110966
