Mes, Cuartos Promedio , Cuartos , Cuartos Disponibles , Cuartos Ocupados,por Nacionales,por Extranjeros, Porcentaje de Ocupacion,por Nacionales,por Extranjeros, Llegada de Turistas,Nacionales,Extranjeros, Turistas Noche, Nacionales,Extranjeros,Estadia, de Nacionales,de Extranjeros,Densidad, de Nacionales, de Extranjeros
Jan,20707.94816,21293,641946.393,524215.6993,133566.1685,390649.5308,81.66035435,20.80643648,60.85391787,193197.9792,93962.56015,99235.41906,900022.9287,263940.1881,636082.7405,4.658552498,2.808993154,6.409835788,1.716894267,1.976100619,1.628269562
Feb,20148.33922,21293,584301.8373,484077.0747,92403.67798,391673.3968,82.84709098,15.81437402,67.03271695,146410.0401,61105.66285,85304.37727,811500.3646,175229.7959,636270.5688,5.542655162,2.867652321,7.458826723,1.676386689,1.896350878,1.624492687
Mar,20186.08294,21293,625768.5712,507051.1726,171083.1216,335968.0509,81.02854568,27.33967948,53.68886621,213331.4928,119802.5775,93528.9153,923682.7602,363357.9389,560324.8214,4.329800294,3.032972633,5.990926117,1.821675622,2.123867834,1.667791981
Apr,20358.69276,21293,610760.7827,458834.9084,215188.0908,243646.8176,75.12514251,35.23279439,39.89234812,206685.891,139719.9781,66965.91298,854716.368,460414.4366,394301.9314,4.135339687,3.295265595,5.888099092,1.862797168,2.139590694,1.61833401
May,20705.65874,21293,641875.4209,471161.0983,293144.5254,178016.5729,73.40382306,45.67000322,27.73381985,251025.4967,196429.7509,54595.74578,893735.5414,613631.9836,280103.5578,3.560337707,3.123925886,5.13050154,1.896878891,2.093274581,1.573468994
Jun,20360.90066,21293,610827.0199,471559.32,291611.5466,179947.7734,77.20014091,47.7404465,29.45969441,257516.9236,200453.218,57063.70563,911269.7288,603757.8094,307511.9194,3.538678996,3.011963666,5.388923064,1.932460435,2.070418049,1.708895384
Jul,19432.10939,21293,602395.3912,512678.0637,353350.533,159327.5308,85.1065714,58.65757576,26.44899564,284890.4909,230582.7043,54307.78662,1108993.698,825455.022,283538.6764,3.8927017,3.5798653,5.220958062,2.163138579,2.336079742,1.779596251
Aug,20703.47383,21293,641807.6887,466299.057,330576.6538,135722.4032,72.65401539,51.50711959,21.14689581,248941.5207,210248.5394,38692.98126,952936.1582,720864.0113,232072.1468,3.827951864,3.428627915,5.997784076,2.043615881,2.180625895,1.709903018
Sep,19411.56306,21293,582346.8919,354495.6378,250246.4515,104249.1863,60.87362063,42.97205926,17.90156137,188808.196,162610.3185,26197.87742,674184.7523,512692.6392,161492.1131,3.570738807,3.152891181,6.164320509,1.901813959,2.048750886,1.549097109
Oct,19395.6838,21293,601266.1977,402509.2023,267246.3185,135262.8838,66.943594,44.44725473,22.49633927,199581.5435,161225.9958,38355.54769,736094.8108,525207.9633,210886.8474,3.688190791,3.257588584,5.49820978,1.828765173,1.965257992,1.559088802
Nov,20660.29775,21293,619808.9324,465245.8149,242874.4314,222371.3835,75.06277993,39.18537127,35.87740865,202469.8398,145450.3915,57019.44825,812377.4067,463623.0311,348754.3756,4.012337875,3.187499368,6.116410915,1.746125125,1.90890012,1.568341978
Dec,20669.44968,21293,640752.9402,508050.281,249831.2654,258219.0157,79.28957468,38.99026437,40.29931031,233895.1283,159592.1136,74303.0147,924752.4334,506133.1136,418619.3198,3.953705407,3.171416821,5.633947983,1.820198646,2.025899812,1.621179287
