Mes,Ocupante,Cuartos Ocupados
Jan,Nacional,133566.1685
Feb,Nacional,92403.67798
Mar,Nacional,171083.1216
Apr,Nacional,215188.0908
May,Nacional,293144.5254
Jun,Nacional,291611.5466
Jul,Nacional,353350.533
Aug,Nacional,330576.6538
Sep,Nacional,250246.4515
Oct,Nacional,267246.3185
Nov,Nacional,242874.4314
Dec,Nacional,249831.2654
Jan,Extranjero,390649.5308
Feb,Extranjero,391673.3968
Mar,Extranjero,335968.0509
Apr,Extranjero,243646.8176
May,Extranjero,178016.5729
Jun,Extranjero,179947.7734
Jul,Extranjero,159327.5308
Aug,Extranjero,135722.4032
Sep,Extranjero,104249.1863
Oct,Extranjero,135262.8838
Nov,Extranjero,222371.3835
Dec,Extranjero,258219.0157
