Mes,Ocupante,Llegadas
Jan,Nacional,93962.56015
Feb,Nacional,61105.66285
Mar,Nacional,119802.5775
Apr,Nacional,139719.9781
May,Nacional,196429.7509
Jun,Nacional,200453.218
Jul,Nacional,230582.7043
Aug,Nacional,210248.5394
Sep,Nacional,162610.3185
Oct,Nacional,161225.9958
Nov,Nacional,145450.3915
Dec,Nacional,159592.1136
Jan,Extranjero,99235.41906
Feb,Extranjero,85304.37727
Mar,Extranjero,93528.9153
Apr,Extranjero,66965.91298
May,Extranjero,54595.74578
Jun,Extranjero,57063.70563
Jul,Extranjero,54307.78662
Aug,Extranjero,38692.98126
Sep,Extranjero,26197.87742
Oct,Extranjero,38355.54769
Nov,Extranjero,57019.44825
Dec,Extranjero,74303.0147
