Mes,Ocupante,Promedio
Jan,Nacional,2.808993154
Feb,Nacional,2.867652321
Mar,Nacional,3.032972633
Apr,Nacional,3.295265595
May,Nacional,3.123925886
Jun,Nacional,3.011963666
Jul,Nacional,3.5798653
Aug,Nacional,3.428627915
Sep,Nacional,3.152891181
Oct,Nacional,3.257588584
Nov,Nacional,3.187499368
Dec,Nacional,3.171416821
Jan,Extranjero,6.409835788
Feb,Extranjero,7.458826723
Mar,Extranjero,5.990926117
Apr,Extranjero,5.888099092
May,Extranjero,5.13050154
Jun,Extranjero,5.388923064
Jul,Extranjero,5.220958062
Aug,Extranjero,5.997784076
Sep,Extranjero,6.164320509
Oct,Extranjero,5.49820978
Nov,Extranjero,6.116410915
Dec,Extranjero,5.633947983
