Mes, Cuartos Promedio , Cuartos , Cuartos Disponibles , Cuartos Ocupados,por Nacionales,por Extranjeros, Porcentaje de Ocupacion,por Nacionales,por Extranjeros, Llegada de Turistas,Nacionales,Extranjeros, Turistas Noche, Nacionales,Extranjeros,Estadia, de Nacionales,de Extranjeros,Densidad, de Nacionales, de Extranjeros
Jan,90031.05356,94059,2790962.66,2228443.741,206695.3418,2021748.399,79.84498585,7.405879869,72.43910598,1215428.093,198517.2955,1016910.797,5389809.641,550204.8229,4839604.818,4.434494869,2.77157122,4.759124233,2.418642904,2.661912059,2.393772054
Feb,90118.23745,94059,2613428.886,2143976.368,154765.5115,1989210.857,82.03691249,5.921933148,76.11497934,1219880.386,159992.1047,1059888.281,5133509.524,386679.4588,4746830.065,4.208207284,2.416865879,4.478613596,2.394387177,2.498485968,2.386288034
Mar,90195.28256,94059,2796053.759,2313089.691,213841.4941,2099248.197,82.72693912,7.647975059,75.07896406,1451762.776,227060.3888,1224702.387,5842830.312,591646.2721,5251184.04,4.024645355,2.605678055,4.287722548,2.525985194,2.766751488,2.501459355
Apr,90296.60277,94059,2708898.083,2187708.66,208814.6136,1978894.047,80.76009481,7.708470648,73.05162416,1267090.363,206409.7328,1060680.63,5296796.914,541342.6976,4755454.216,4.180283481,2.622660716,4.483398754,2.421161926,2.592455998,2.403086827
May,90166.45848,94059,2795160.213,2164708.965,257219.9511,1907489.014,77.44489763,9.202333016,68.24256461,1232437.393,245194.7979,987242.5949,5120011.421,689063.8005,4430947.62,4.154378511,2.81027088,4.488205476,2.365219299,2.6788894,2.322921698
Jun,90225.87525,94059,2706776.258,2141520.179,249861.9089,1891658.27,79.11700028,9.230977559,69.88602272,1257110.912,253110.2632,1004000.649,5391604.028,692565.0463,4699038.982,4.288884915,2.736218743,4.680314686,2.517652684,2.771791224,2.484084496
Jul,90200.57243,94059,2796217.745,2401013.718,443262.2859,1957751.433,85.86647883,15.85220917,70.01426966,1471627.078,457821.5352,1013805.543,6452535.324,1492124.472,4960410.851,4.384626661,3.259183673,4.89286223,2.687421265,3.366233763,2.533728628
Aug,90078.13674,94059,2792422.239,2176008.441,353236.0669,1822772.374,77.92548027,12.64980854,65.27567173,1266022.943,347223.0047,918799.9379,5712227.094,1152154.642,4560072.452,4.511945955,3.318197892,4.963074402,2.62509418,3.261712917,2.501723483
Sep,89291.17893,94059,2678735.368,1722374.39,239684.461,1482689.929,64.29804194,8.947672245,55.3503697,975464.0103,226308.5403,749155.47,3921517.928,590481.9353,3331035.993,4.020156446,2.609189801,4.446388135,2.276809241,2.463580379,2.246616725
Oct,89078.10447,94059,2761421.239,1859197.28,253887.186,1605310.094,67.32755054,9.194076674,58.13347386,1114997.412,257309.7999,857687.6118,4320516.186,658284.0313,3662232.155,3.874911404,2.55833253,4.269890465,2.323861073,2.592821015,2.281323819
Nov,89917.46973,94059,2697524.092,2104486.166,261395.8449,1843090.321,78.01547248,9.690213544,68.32525894,1200878.178,256392.3543,944485.8235,4944860.989,669306.7553,4275554.234,4.117704094,2.610478605,4.526859088,2.349676168,2.560510308,2.319774666
Dec,90287.87061,94059,2798923.989,2231711.99,276498.7802,1955213.21,79.73464086,9.878752739,69.85588812,1533103.125,290454.7753,1242648.35,5535139.296,757136.5248,4778002.771,3.610415506,2.606727757,3.845015987,2.480221157,2.738299693,2.443724677
