Mes,Ocupante,Cuartos Ocupados
Jan,Nacional,206695.3418
Feb,Nacional,154765.5115
Mar,Nacional,213841.4941
Apr,Nacional,208814.6136
May,Nacional,257219.9511
Jun,Nacional,249861.9089
Jul,Nacional,443262.2859
Aug,Nacional,353236.0669
Sep,Nacional,239684.461
Oct,Nacional,253887.186
Nov,Nacional,261395.8449
Dec,Nacional,276498.7802
Jan,Extranjero,2021748.399
Feb,Extranjero,1989210.857
Mar,Extranjero,2099248.197
Apr,Extranjero,1978894.047
May,Extranjero,1907489.014
Jun,Extranjero,1891658.27
Jul,Extranjero,1957751.433
Aug,Extranjero,1822772.374
Sep,Extranjero,1482689.929
Oct,Extranjero,1605310.094
Nov,Extranjero,1843090.321
Dec,Extranjero,1955213.21
