Mes,Ocupante,Lleagadas
Jan,Nacional,198517.2955
Feb,Nacional,159992.1047
Mar,Nacional,227060.3888
Apr,Nacional,206409.7328
May,Nacional,245194.7979
Jun,Nacional,253110.2632
Jul,Nacional,457821.5352
Aug,Nacional,347223.0047
Sep,Nacional,226308.5403
Oct,Nacional,257309.7999
Nov,Nacional,256392.3543
Dec,Nacional,290454.7753
Jan,Extranjero,1016910.797
Feb,Extranjero,1059888.281
Mar,Extranjero,1224702.387
Apr,Extranjero,1060680.63
May,Extranjero,987242.5949
Jun,Extranjero,1004000.649
Jul,Extranjero,1013805.543
Aug,Extranjero,918799.9379
Sep,Extranjero,749155.47
Oct,Extranjero,857687.6118
Nov,Extranjero,944485.8235
Dec,Extranjero,1242648.35
