Mes,Ocupante,Promedio
Jan,Nacional,2.77157122
Feb,Nacional,2.416865879
Mar,Nacional,2.605678055
Apr,Nacional,2.622660716
May,Nacional,2.81027088
Jun,Nacional,2.736218743
Jul,Nacional,3.259183673
Aug,Nacional,3.318197892
Sep,Nacional,2.609189801
Oct,Nacional,2.55833253
Nov,Nacional,2.610478605
Dec,Nacional,2.606727757
Jan,Extranjero,4.759124233
Feb,Extranjero,4.478613596
Mar,Extranjero,4.287722548
Apr,Extranjero,4.483398754
May,Extranjero,4.488205476
Jun,Extranjero,4.680314686
Jul,Extranjero,4.89286223
Aug,Extranjero,4.963074402
Sep,Extranjero,4.446388135
Oct,Extranjero,4.269890465
Nov,Extranjero,4.526859088
Dec,Extranjero,3.845015987
