Mes, Cuartos Promedio , Cuartos , Cuartos Disponibles , Cuartos Ocupados,por Nacionales,por Extranjeros, Porcentaje de Ocupacion,por Nacionales,por Extranjeros, Llegada de Turistas,Nacionales,Extranjeros, Turistas Noche, Nacionales,Extranjeros,Estadia, de Nacionales,de Extranjeros,Densidad, de Nacionales, de Extranjeros
Jan,15572.93682,16833,482793.0415,212361.879,146591.9417,65769.93729,43.98611014,30.36330873,13.62280142,212784.4746,176513.4738,36271.00085,522650.3009,344210.1903,178440.1106,2.456242646,1.950050514,4.919635699,2.461130516,2.348083983,2.713095344
Feb,15646.76843,16833,472594.478,238852.698,165657.6481,73195.04982,50.54072975,35.05281078,15.48791897,251692.1207,208582.6776,43109.44315,592600.5163,398591.4265,194009.0898,2.354465903,1.91095172,4.500384965,2.481029192,2.406115449,2.650576648
Mar,15581.30316,16833,464147.4324,248730.6415,161823.3768,86907.26466,53.58871431,34.8646498,18.72406451,257451.4156,212810.4939,44640.92171,603694.113,376735.9895,226958.1234,2.344885584,1.770288592,5.084082379,2.427099891,2.328069015,2.611497719
Apr,15628.6861,16833,478360.1636,286193.9336,224190.0356,62003.898,59.82812855,46.8663682,12.96176035,318505.7298,281709.6275,36796.10226,754351.7213,570936.7914,183414.9299,2.368408637,2.026685408,4.984629311,2.635806118,2.54666444,2.958119341
May,15501.91068,16833,471204.9646,253656.556,210130.5233,43526.03275,53.83146934,44.59429316,9.237176181,295811.2977,263289.4246,32521.87307,648682.1148,506638.5112,142043.6035,2.192891617,1.924264569,4.367632923,2.557324458,2.411065767,3.263417191
Jun,15448.03323,16833,472782.6742,247830.6556,221579.8869,26250.76874,52.41957228,46.86717576,5.552396518,304586.8338,287001.2158,17585.618,636496.4217,571045.9874,65450.43437,2.089704318,1.989698844,3.721815997,2.568271548,2.577156236,2.493276864
Jul,15571.08603,16833,473238.3001,293655.0963,267563.6266,26091.46972,62.05226758,56.5388783,5.513389282,362869.5619,347213.3381,15656.22383,792429.3024,728720.2922,63709.01025,2.183785541,2.098768141,4.069244982,2.698503491,2.723540197,2.441756288
Aug,15607.95887,16833,483846.7249,336740.5778,313953.2704,22787.30743,69.59653967,64.88692684,4.709612829,397123.4472,383260.1668,13863.28042,959909.2118,904030.7431,55878.46867,2.41715572,2.35879129,4.030681555,2.850589668,2.879507329,2.452175135
Sep,15616.88314,16833,478004.1715,288822.4046,272796.3819,16026.02275,60.4225699,57.06987473,3.352695165,340625.0985,328973.7303,11651.36825,804283.4878,764885.3792,39398.10859,2.361198547,2.325065222,3.381414761,2.784699091,2.803869223,2.458383419
Oct,15473.07128,16833,470270.5429,220968.0627,206223.2866,14744.77609,46.98743437,43.85205276,3.135381604,275468.6977,264606.5963,10862.10135,541025.5215,507434.0601,33591.46138,1.964018148,1.917692405,3.092538017,2.448433112,2.460605048,2.278194065
Nov,15521.31987,16833,475087.4347,246831.1831,221507.7323,25323.45083,51.9548961,46.62462445,5.330271647,298934.2137,282248.2,16686.01372,629974.5962,570498.4491,59476.14717,2.107402122,2.021265146,3.564431155,2.552248822,2.575523857,2.34865886
Dec,15641.77868,16833,475332.4723,253375.2217,199552.8564,53822.36537,53.30484167,41.98174289,11.32309878,289485.2339,264971.831,24513.40293,592996.6572,472335.956,120660.7011,2.048452175,1.78258932,4.922233826,2.340389297,2.366971662,2.241832002
