Mes,Ocupante,Cuartos Ocupados
Jan,Nacional,146591.9417
Feb,Nacional,165657.6481
Mar,Nacional,161823.3768
Apr,Nacional,224190.0356
May,Nacional,210130.5233
Jun,Nacional,221579.8869
Jul,Nacional,267563.6266
Aug,Nacional,313953.2704
Sep,Nacional,272796.3819
Oct,Nacional,206223.2866
Nov,Nacional,221507.7323
Dec,Nacional,199552.8564
Jan,Extranjero,65769.93729
Feb,Extranjero,73195.04982
Mar,Extranjero,86907.26466
Apr,Extranjero,62003.898
May,Extranjero,43526.03275
Jun,Extranjero,26250.76874
Jul,Extranjero,26091.46972
Aug,Extranjero,22787.30743
Sep,Extranjero,16026.02275
Oct,Extranjero,14744.77609
Nov,Extranjero,25323.45083
Dec,Extranjero,53822.36537
