Mes,Ocupante,Llegadas
Jan,Nacional,176513.4738
Feb,Nacional,208582.6776
Mar,Nacional,212810.4939
Apr,Nacional,281709.6275
May,Nacional,263289.4246
Jun,Nacional,287001.2158
Jul,Nacional,347213.3381
Aug,Nacional,383260.1668
Sep,Nacional,328973.7303
Oct,Nacional,264606.5963
Nov,Nacional,282248.2
Dec,Nacional,264971.831
Jan,Extranjero,36271.00085
Feb,Extranjero,43109.44315
Mar,Extranjero,44640.92171
Apr,Extranjero,36796.10226
May,Extranjero,32521.87307
Jun,Extranjero,17585.618
Jul,Extranjero,15656.22383
Aug,Extranjero,13863.28042
Sep,Extranjero,11651.36825
Oct,Extranjero,10862.10135
Nov,Extranjero,16686.01372
Dec,Extranjero,24513.40293
