Mes,Ocupante,Promedio
Jan,Nacional,1.950050514
Feb,Nacional,1.91095172
Mar,Nacional,1.770288592
Apr,Nacional,2.026685408
May,Nacional,1.924264569
Jun,Nacional,1.989698844
Jul,Nacional,2.098768141
Aug,Nacional,2.35879129
Sep,Nacional,2.325065222
Oct,Nacional,1.917692405
Nov,Nacional,2.021265146
Dec,Nacional,1.78258932
Jan,Extranjero,4.919635699
Feb,Extranjero,4.500384965
Mar,Extranjero,5.084082379
Apr,Extranjero,4.984629311
May,Extranjero,4.367632923
Jun,Extranjero,3.721815997
Jul,Extranjero,4.069244982
Aug,Extranjero,4.030681555
Sep,Extranjero,3.381414761
Oct,Extranjero,3.092538017
Nov,Extranjero,3.564431155
Dec,Extranjero,4.922233826
